original_category,category,description,carbohydrate,protein,fat,kilocalories,feedback,generic_category,nutritional_score
CHEESE FD,CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",8.3,19.7,24.5,331,approvato,dairy,14.759897378239144
CHEESE FD,CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.3,19.6,24.6,328,approvato,dairy,13.819210915108371
CHEESE FD,CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.8,18.4,25.2,330,approvato,dairy,13.302921252263207
CHEESE FD,CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",4.5,21.9,24.1,323,approvato,dairy,13.102841727559497
CREAM SUB,CREAM SUB,"CREAM SUB,PDR,LT",73.4,1.9,15.7,431,rifiutato,dairy,59.3717153788175
CREAM SUB,CREAM SUB,"CREAM SUB,FLAV,POWDERED",75.4,0.0,21.5,495,approvato,dairy,57.69525246688052
CREAM SUB,CREAM SUB,"CREAM SUB,FLAV,LIQ",35.1,0.7,13.5,251,approvato,dairy,27.680277558205347
CREAM SUB,CREAM SUB,"CREAM SUB,LIQ,LT",9.1,0.8,3.5,71,approvato,dairy,8.310512681186847
TURKEY,TURKEY,"TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,CKD,RSTD",0.0,30.1,0.7,135,approvato,poultry,20.64942055573991
TURKEY,TURKEY,"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,CKD,RSTD",0.0,30.2,1.2,140,approvato,poultry,20.57955671023869
TURKEY,TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,CKD,RSTD",0.0,30.9,3.4,163,approvato,poultry,20.447029971571663
TURKEY,TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,CKD,RSTD",0.0,29.9,2.9,154,approvato,poultry,19.93673557511923
TURKEY,TURKEY,"TURKEY,ALL CLASSES,LT MEAT,CKD,RSTD",0.0,29.9,3.2,157,approvato,poultry,19.843672203161507
QUAIL,QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",0.0,22.6,3.0,123,approvato,poultry,15.179206741075811
QUAIL,QUAIL,"QUAIL,MEAT ONLY,RAW",0.0,21.8,4.5,134,approvato,poultry,14.218973413761876
QUAIL,QUAIL,"QUAIL,COOKED,TOTAL EDIBLE",0.0,25.1,14.1,234,approvato,poultry,13.866906339348098
QUAIL,QUAIL,"QUAIL,MEAT AND SKIN,RAW",0.0,19.6,12.1,192,approvato,poultry,10.827628728965417
POULTRY,POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW",0.0,13.8,15.5,199,rifiutato,poultry,6.091257259935325
POULTRY,POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW",0.0,14.7,20.0,243,rifiutato,poultry,5.509237082399679
POULTRY,POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW",0.0,11.4,24.7,272,approvato,poultry,2.0798454744830224
TURKEY THIGH,TURKEY THIGH,"TURKEY THIGH,PRE-BASTED,MEAT&SKN,CKD,RSTD",0.0,18.8,8.5,157,approvato,poultry,11.215700565056215
GUINEA HEN,GUINEA HEN,"GUINEA HEN,MEAT&SKN,RAW",0.0,23.4,6.5,158,rifiutato,poultry,14.775401596995614
GUINEA HEN,GUINEA HEN,"GUINEA HEN,MEAT ONLY,RAW",0.0,20.6,2.5,110,rifiutato,poultry,14.003512328241412
QUAIL,QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",0.0,22.6,3.0,123,approvato,poultry,15.179206741075811
BEEF,BEEF,"BEEF,RND,TOP RND,LN,0""FAT,SEL,CKD,BRSD",0.0,36.1,4.0,190,approvato,meats,23.7116324264474
BEEF,BEEF,"BEEF,CURED,DRIED",2.8,31.1,1.9,153,approvato,meats,23.68109383967013
BEEF,BEEF,"BEEF,RND,TOP RND,LN,0""FAT,ALL GRDS,CKD,BRSD",0.0,36.1,5.0,199,approvato,meats,23.44817561856363
BEEF,BEEF,"BEEF,CURED,THIN-SLICED BF",5.7,28.1,3.8,176,approvato,meats,23.280601271778632
BEEF,BEEF,"BEEF,RND,TOP RND,LN,0""FAT,CHOIC,CKD,BRSD",0.0,36.1,5.8,207,approvato,meats,23.200006626676373
BEEF SAUSAGE,BEEF SAUSAGE,"BEEF SAUSAGE,FRSH,CKD",0.3,18.2,28.0,332,approvato,meats,5.8936517685258565
BEEF SAUSAGE,BEEF SAUSAGE,"BEEF SAUSAGE,PRE-COOKED",0.0,15.5,37.6,405,approvato,meats,1.3860155039608593
BARBECUE LOAF,BARBECUE LOAF,"BARBECUE LOAF,PORK,BEEF",6.4,15.8,8.9,173,approvato,meats,14.44653392531307
PATE,PATE,"PATE,CHICKEN LIVER,CANNED",6.5,13.4,13.1,201,rifiutato,meats,11.853550308541369
PATE,PATE,"PATE,LIVER,NOT SPECIFIED,CND",1.5,14.2,28.0,319,rifiutato,meats,4.30551795821339
PATE,PATE,"PATE,GOOSE LIVER,SMOKED,CND",4.7,11.4,43.8,462,rifiutato,meats,0.9553393004535772
BEERWURST,BEERWURST,"BEERWURST,BEER SALAMI,PORK & BF",3.8,14.0,22.5,277,approvato,meats,7.55970358592354
BEERWURST,BEERWURST,"BEERWURST,BEER SALAMI,PORK",2.1,14.2,18.8,238,approvato,meats,7.252027388759144
TURKEY HAM,TURKEY HAM,"TURKEY HAM,SLICED,EX LN,PREPACKAGED OR DELI-SLICED",2.9,19.6,3.8,124,approvato,meats,15.63424528875765
TURKEY HAM,TURKEY HAM,"TURKEY HAM,CURED TURKEY THIGH MEAT",2.0,17.5,4.8,126,approvato,meats,12.997695078350333
DUTCH BRAND LOAF,DUTCH BRAND LOAF,"DUTCH BRAND LOAF,CHICK,PORK & BF",3.9,12.0,22.9,273,approvato,meats,6.205963186477749
BUFFALO,BUFFALO,"BUFFALO,FREE RANGE,TOP RND STEAK,CKD (SHOSHONE BANNOCK)",0.0,32.5,1.8,146,rifiutato,meats,22.353990778174573
HEADCHEESE,HEADCHEESE,"HEADCHEESE,PORK",0.0,13.8,10.9,157,approvato,meats,7.331211235385831
SANDWICH SPREAD,SANDWICH SPREAD,"SANDWICH SPREAD,MEATLESS",9.0,8.0,9.0,149,approvato,meats,11.565262556107117
SANDWICH SPREAD,SANDWICH SPREAD,"SANDWICH SPREAD,PORK,BEEF",11.9,7.7,17.3,235,approvato,meats,11.52770039465748
LOUIS RICH,LOUIS RICH,"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",15.4,14.3,17.5,276,approvato,meats,18.808236936079997
LOUIS RICH,LOUIS RICH,"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",4.5,19.3,0.8,102,approvato,meats,17.553424297435892
LOUIS RICH,LOUIS RICH,"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",3.7,19.7,0.5,98,approvato,meats,17.225056164987976
LOUIS RICH,LOUIS RICH,"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",2.2,19.3,0.8,93,approvato,meats,15.64789921219277
LOUIS RICH,LOUIS RICH,"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",1.6,19.7,1.0,94,approvato,meats,15.36671371833888
PORK & TURKEY SAUSAGE,PORK & TURKEY SAUSAGE,"PORK & TURKEY SAUSAGE,PRE-COOKED",3.6,12.1,30.6,342,approvato,meats,3.973181482008336
BROTWURST,BROTWURST,"BROTWURST,PORK,BF,LINK",2.9,14.3,27.8,323,approvato,meats,5.588293198426566
CELERIAC,CELERIAC,"CELERIAC,RAW",9.2,1.5,0.3,42,rifiutato,vegetables,9.860761903069957
CELERIAC,CELERIAC,"CELERIAC,CKD,BLD,DRND,WO/SALT",5.9,1.0,0.2,27,rifiutato,vegetables,6.782379936929919
CARROTS,CARROTS,"CARROTS,RAW",9.6,0.9,0.2,41,approvato,vegetables,9.78490889753306
CARROTS,CARROTS,"CARROTS,CKD,BLD,DRND,WO/SALT",8.2,0.8,0.2,35,approvato,vegetables,8.564175905291698
CARROTS,CARROTS,"CARROTS,BABY,RAW",8.2,0.6,0.1,35,approvato,vegetables,8.37795904844566
CARROTS,CARROTS,"CARROTS,FROZEN,UNPREPARED",7.9,0.8,0.5,36,approvato,vegetables,8.26118900949926
CARROTS,CARROTS,"CARROTS,FRZ,CKD,BLD,DRND,WO/SALT",7.7,0.6,0.7,37,approvato,vegetables,7.873129386122558
LETTUCE,LETTUCE,"LETTUCE,COS OR ROMAINE,RAW",3.3,1.2,0.3,17,approvato,vegetables,4.806393752722816
LETTUCE,LETTUCE,"LETTUCE,GRN LEAF,RAW",2.8,1.4,0.1,15,approvato,vegetables,4.533198903242379
LETTUCE,LETTUCE,"LETTUCE,ICEBERG (INCL CRISPHEAD TYPES),RAW",3.0,0.9,0.1,14,approvato,vegetables,4.356032721599643
LETTUCE,LETTUCE,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",2.2,1.4,0.2,13,approvato,vegetables,4.035576299611726
LETTUCE,LETTUCE,"LETTUCE,RED LEAF,RAW",2.3,1.3,0.2,16,approvato,vegetables,3.911215358519268
ENDIVE,ENDIVE,"ENDIVE,RAW",3.4,1.2,0.2,17,approvato,vegetables,4.891804573995191
PARSNIPS,PARSNIPS,"PARSNIPS,RAW",18.0,1.2,0.3,75,approvato,vegetables,16.962823699636285
PARSNIPS,PARSNIPS,"PARSNIPS,CKD,BLD,DRND,WO/SALT",17.0,1.3,0.3,71,approvato,vegetables,16.22364190934806
RUTABAGAS,RUTABAGAS,"RUTABAGAS,CKD,BLD,DRND,WO/SALT",8.7,1.3,0.2,39,rifiutato,vegetables,9.309087695840962
RUTABAGAS,RUTABAGAS,"RUTABAGAS,RAW",8.1,1.2,0.2,36,rifiutato,vegetables,8.757244441767897
PUMPKIN,PUMPKIN,"PUMPKIN,CND,WO/SALT",8.1,1.1,0.3,34,approvato,vegetables,8.781244839279585
PUMPKIN,PUMPKIN,"PUMPKIN,RAW",6.5,1.0,0.1,26,approvato,vegetables,7.420265836486481
PUMPKIN,PUMPKIN,"PUMPKIN,CKD,BLD,DRND,WO/SALT",4.9,0.7,0.1,20,approvato,vegetables,5.826761036864927
PUMPKIN,PUMPKIN,"PUMPKIN,FLOWERS,CKD,BLD,DRND,W/SALT",3.2,1.1,0.1,15,approvato,vegetables,4.682050097004527
ONIONS,ONIONS,"ONIONS,CKD,BLD,DRND,WO/SALT",10.2,1.4,0.2,44,approvato,vegetables,10.677719249319404
ONIONS,ONIONS,"ONIONS,CKD,BLD,DRND,W/SALT",9.6,1.4,0.2,42,approvato,vegetables,10.164363337699353
ONIONS,ONIONS,"ONIONS,RAW",9.3,1.1,0.1,40,approvato,vegetables,9.68298118259028
ONIONS,ONIONS,"ONIONS,FRZ,WHL,UNPREP",8.4,0.9,0.1,35,approvato,vegetables,8.835972630254176
ONIONS,ONIONS,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",7.3,1.8,0.2,32,approvato,vegetables,8.646559782144816
VEGETABLES,VEGETABLES,"VEGETABLES,MXD,FRZ,UNPREP",13.5,3.3,0.5,64,approvato,vegetables,14.74718051355818
VEGETABLES,VEGETABLES,"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT",13.1,2.9,0.1,65,approvato,vegetables,13.891949234864905
VEGETABLES,VEGETABLES,"VEGETABLES,MXD,CND,DRND SOL",9.3,2.6,0.2,49,approvato,vegetables,10.556551219226712
VEGETABLES,VEGETABLES,"VEGETABLES,MXD (CORN,LIMA BNS,PEAS,GRN BNS,CRRT) CND,NO SALT",7.3,1.4,0.2,37,approvato,vegetables,8.071820524555017
VEGETABLES,VEGETABLES,"VEGETABLES,MXD,CND,SOL&LIQUIDS",7.1,1.4,0.2,36,approvato,vegetables,7.91628669800677
RADISHES,RADISHES,"RADISHES,ORIENTAL,DRIED",63.4,7.9,0.7,271,approvato,vegetables,59.49252183597804
RADISHES,RADISHES,"RADISHES,HAWAIIAN STYLE,PICKLED",5.2,1.1,0.3,28,approvato,vegetables,6.128591682539888
RADISHES,RADISHES,"RADISHES,ORIENTAL,RAW",4.1,0.6,0.1,18,approvato,vegetables,5.02587509229301
RADISHES,RADISHES,"RADISHES,RAW",3.4,0.7,0.1,16,approvato,vegetables,4.496616825839499
RADISHES,RADISHES,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT",3.4,0.7,0.2,17,approvato,vegetables,4.465595701853598
